AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 13 Id	Sensor 13 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 14 Id	Sensor 14 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 15 Id	Sensor 15 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 16 Id	Sensor 16 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.019300	7.000000	425.000000	0.000000	55.000000	45.170494	68.635109	-169.453570	0.343153	-0.824749	-0.230190	0.386067	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.174442	65.666275	-195.279330	0.737018	0.673088	-0.061294	0.000000	9.000000	55.000000	-44.957012	-47.171467	-95.567772	0.404763	0.904655	0.133288	-0.000000	10.000000	55.000000	-50.164200	-69.920563	-224.652080	0.949647	-0.143924	0.278311	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.604263	76.683891	-161.882710	0.682612	-0.100002	0.723906	-0.000000	14.000000	55.000000	-84.579964	68.750153	-208.544010	0.742728	-0.175430	0.646204	0.000000	15.000000	55.000000	-88.637604	94.037613	-190.681260	0.701460	-0.118299	0.702822	-0.000000
0.029300	8.000000	645.000000	0.000000	55.000000	45.153988	68.697815	-169.503660	0.343535	-0.824531	-0.230092	0.386250	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.170460	65.731209	-195.304660	0.737016	0.673099	-0.061198	0.000000	9.000000	55.000000	-44.983437	-47.101776	-95.555641	0.404728	0.904769	0.132620	-0.000000	10.000000	55.000000	-50.159744	-69.792992	-224.702440	0.949692	-0.143639	0.278304	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.600174	76.685013	-161.958050	0.682612	-0.100160	0.723884	0.000000	14.000000	55.000000	-84.640930	68.760269	-208.585680	0.742598	-0.175572	0.646314	0.000000	15.000000	55.000000	-88.648628	94.083359	-190.726000	0.701379	-0.118202	0.702919	0.000000
0.039200	9.000000	865.000000	0.000000	55.000000	45.140350	68.752304	-169.583480	0.343167	-0.824632	-0.230206	0.386295	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.150822	65.770897	-195.404560	0.737103	0.673018	-0.061044	-0.000000	9.000000	55.000000	-44.984642	-47.089268	-95.575371	0.404806	0.904613	0.133442	0.000000	10.000000	55.000000	-50.086067	-69.776611	-224.716450	0.949759	-0.143882	0.277949	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.635399	76.788589	-162.050540	0.682548	-0.100151	0.723946	0.000000	14.000000	55.000000	-84.571701	68.855011	-208.605680	0.742734	-0.175201	0.646259	0.000000	15.000000	55.000000	-88.737778	94.206192	-190.847750	0.701236	-0.118268	0.703051	-0.000000
0.049200	10.000000	1085.000000	0.000000	55.000000	45.118732	68.806137	-169.626450	0.342941	-0.824653	-0.230339	0.386371	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.081387	65.789139	-195.436680	0.737214	0.672917	-0.060813	0.000000	9.000000	55.000000	-44.945496	-46.996979	-95.596687	0.404573	0.904786	0.132980	0.000000	10.000000	55.000000	-50.114872	-69.682861	-224.787050	0.949735	-0.143555	0.278199	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.635941	76.845482	-162.085820	0.682512	-0.100092	0.723988	0.000000	14.000000	55.000000	-84.590744	68.885971	-208.674150	0.742715	-0.175275	0.646261	0.000000	15.000000	55.000000	-88.745338	94.225273	-190.899200	0.701217	-0.118307	0.703064	0.000000
0.059200	11.000000	1306.000000	0.000000	55.000000	45.100456	68.853676	-169.692210	0.342868	-0.824601	-0.230392	0.386515	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.080498	65.823425	-195.482090	0.737253	0.672883	-0.060722	0.000000	9.000000	55.000000	-45.026852	-47.060310	-95.483253	0.404190	0.905031	0.132472	0.000000	10.000000	55.000000	-50.161896	-69.547447	-224.823180	0.949704	-0.142985	0.278600	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.640663	76.840508	-162.113140	0.682443	-0.100195	0.724039	0.000000	14.000000	55.000000	-84.584320	68.979233	-208.734760	0.742764	-0.175068	0.646260	-0.000000	15.000000	55.000000	-88.759277	94.305305	-190.893920	0.701163	-0.118309	0.703117	-0.000000
0.069200	12.000000	1526.000000	0.000000	55.000000	45.096230	68.887688	-169.768040	0.342440	-0.824747	-0.230459	0.386544	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.091457	65.865578	-195.545200	0.737281	0.672854	-0.060698	0.000000	9.000000	55.000000	-45.010208	-47.045441	-95.518967	0.404341	0.904946	0.132596	0.000000	10.000000	55.000000	-50.162182	-69.462105	-224.817810	0.949696	-0.142717	0.278765	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.667381	76.871696	-162.185560	0.682381	-0.100373	0.724073	0.000000	14.000000	55.000000	-84.616203	69.010887	-208.820500	0.742707	-0.175224	0.646284	0.000000	15.000000	55.000000	-88.788139	94.364563	-190.901930	0.701039	-0.118258	0.703249	0.000000
0.079200	13.000000	1746.000000	0.000000	55.000000	45.094376	68.891632	-169.834560	0.341981	-0.824940	-0.230409	0.386567	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.109344	65.900574	-195.588700	0.737301	0.672835	-0.060668	0.000000	9.000000	55.000000	-44.984867	-47.021820	-95.552361	0.404434	0.904887	0.132714	0.000000	10.000000	55.000000	-50.193027	-69.489662	-224.851290	0.949592	-0.143035	0.278954	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.662727	76.901817	-162.202510	0.682345	-0.100388	0.724105	0.000000	14.000000	55.000000	-84.654663	69.131355	-208.904070	0.742661	-0.174985	0.646402	0.000000	15.000000	55.000000	-88.776253	94.397545	-190.963610	0.701063	-0.118269	0.703224	-0.000000
0.089200	14.000000	1966.000000	0.000000	55.000000	45.063457	68.915985	-169.890110	0.341682	-0.824977	-0.230467	0.386719	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.107216	65.928368	-195.574710	0.737314	0.672825	-0.060611	-0.000000	9.000000	55.000000	-44.959091	-46.995533	-95.587929	0.404506	0.904824	0.132922	-0.000000	10.000000	55.000000	-50.286964	-69.501205	-224.842000	0.949435	-0.143267	0.279369	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.658928	76.904190	-162.232300	0.682329	-0.100550	0.724098	0.000000	14.000000	55.000000	-84.659821	69.116302	-208.925550	0.742618	-0.175079	0.646425	0.000000	15.000000	55.000000	-88.776917	94.393562	-190.992390	0.701024	-0.118225	0.703270	0.000000
0.099200	15.000000	2187.000000	0.000000	55.000000	45.068672	68.961960	-169.916050	0.341318	-0.825106	-0.230663	0.386647	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.109455	65.949699	-195.637020	0.737363	0.672771	-0.060619	0.000000	9.000000	55.000000	-44.945850	-46.958996	-95.615189	0.404498	0.904823	0.132957	-0.000000	10.000000	55.000000	-50.262074	-69.545219	-224.874910	0.949413	-0.143658	0.279243	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.649956	76.873558	-162.254710	0.682297	-0.100751	0.724099	0.000000	14.000000	55.000000	-84.664780	69.127312	-208.912860	0.742517	-0.175135	0.646526	0.000000	15.000000	55.000000	-88.791252	94.437645	-191.030940	0.700991	-0.118313	0.703288	0.000000
0.109200	16.000000	2407.000000	0.000000	55.000000	45.071404	68.996956	-169.954270	0.341176	-0.825149	-0.230672	0.386676	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.125538	65.963654	-195.691540	0.737422	0.672705	-0.060628	-0.000000	9.000000	55.000000	-44.933750	-46.921272	-95.634735	0.404506	0.904832	0.132869	0.000000	10.000000	55.000000	-50.376156	-69.631256	-224.859770	0.949147	-0.144364	0.279784	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.679535	76.972549	-162.282790	0.682206	-0.100670	0.724196	0.000000	14.000000	55.000000	-84.739296	69.209969	-208.971070	0.742372	-0.175187	0.646678	-0.000000	15.000000	55.000000	-88.827919	94.474014	-191.038860	0.700888	-0.118366	0.703381	0.000000
